Date,Open,High,Low,Close,Volume
1970-01-30,800.4,819.2,739.1,744.1,49869922
1970-02-27,744.1,784.2,738.8,777.6,51514289
1970-03-31,777.6,803.3,758,785.6,48018046
1970-04-30,785.6,798.8,716.7,736.1,50327819
1970-05-29,736.1,740.8,627.5,700.4,58245113
1970-06-30,700.4,728.2,674.9,683.5,51072182
1970-07-31,683.5,743.4,665.3,734.1,51369922
1970-08-31,734.1,772,702.8,764.6,49328572
1970-09-30,764.6,778.3,741.5,760.7,68411281
1970-10-30,760.7,791.1,746.7,755.6,58955638
1970-11-30,755.6,797.5,749.5,794.1,51945112
1970-12-31,794.1,848.2,787.5,838.9,75618045
1971-01-29,838.9,873.8,826.5,868.5,78606767
1971-02-26,868.5,898.1,862,878.8,83727065
1971-03-31,878.8,922.3,873.2,904.4,87942855
1971-04-30,904.4,958.1,897.5,941.8,90581955
1971-05-31,941.8,948.9,898.6,907.8,69329323
1971-06-30,907.8,929.6,866.3,891.1,68478947
1971-07-30,891.1,908.8,854.4,858.4,59828572
1971-08-31,858.4,917.8,834.9,898.1,72297746
1971-09-30,898.1,925.7,877.5,887.2,57004509
1971-10-29,887.2,910.6,827.8,839,63175938
1971-11-30,839,855.2,790.7,831.3,62348122
1971-12-31,831.3,902.5,831.1,890.2,85190979
1972-01-31,890.2,924,882.8,902.2,85599248
1972-02-29,902.2,933.3,894.3,928.1,84870677
1972-03-31,928.1,957,924.1,940.7,91048873
1972-04-28,940.7,977.7,933.6,954.2,83005263
1972-05-31,954.2,979.5,917.4,960.7,75755634
1972-06-30,960.7,967.7,917.8,929,70942106
1972-07-31,929,955.5,900.1,924.7,65165414
1972-08-31,924.7,980.4,922,963.7,80510524
1972-09-29,963.7,977.4,927.2,953.3,55531579
1972-10-31,953.3,964.1,917.1,955.5,71571429
1972-11-30,955.5,1029.7,955.3,1018.2,91481954
1972-12-29,1018.2,1042.4,996.1,1020,77758647
1973-01-31,1022.9,1067.2,988.1,999,88815788
1973-02-28,999,1019.9,938.8,955.1,71772181
1973-03-30,955.1,985.3,911.1,951,77458646
1973-04-30,951,975.3,907.5,921.4,62704513
1973-05-31,921.4,965.2,875.5,901.4,76073685
1973-06-29,901.4,935.6,864.5,891.7,60609020
1973-07-31,890.2,944.1,863.9,926.4,69424061
1973-08-31,924.4,924.4,845.5,887.6,61908269
1973-09-28,887.6,964.6,873.3,947.1,74226314
1973-10-31,947.1,997.6,937.7,956.6,95390979
1973-11-30,956.6,963.8,810.4,822.3,90203006
1973-12-31,820.5,861.1,783.6,850.9,86702258
1974-01-31,850.9,890.4,816.6,855.6,81913535
1974-02-28,855.6,871.4,795.7,860.5,57927068
1974-03-29,860.5,904,841.8,846.7,69834586
1974-04-30,846.7,875.9,818.7,836.8,57354135
1974-05-31,836.8,870.4,788.8,802.2,62063907
1974-06-28,802.2,865.5,796.5,802.4,55339850
1974-07-31,802.4,812,753.1,757.4,61824812
1974-08-30,757.4,803.4,651.6,678.6,63180451
1974-09-30,678.6,686.5,598.8,607.9,63169172
1974-10-31,607.9,689.3,573.2,665.5,85060152
1974-11-29,665.5,692.8,599.8,618.7,64689473
1974-12-31,616.1,619.8,570,616.2,71086468
1975-01-31,619.1,717.3,619.1,703.7,97567672
1975-02-28,703.7,757.4,695.2,739.1,95557894
1975-03-31,739.1,796.9,731.5,768.2,102318047
1975-04-30,768.2,835.2,736.6,821.3,101808271
1975-05-30,821.3,868.6,808,832.3,103193234
1975-06-30,835.7,884.6,811.2,879,100827067
1975-07-31,879,888.9,819.2,831.5,99627067
1975-08-29,831.5,844,785.8,835.3,63489473
1975-09-30,835.3,849,789.7,793.9,62057143
1975-10-31,793.9,859.6,780.5,836,82452633
1975-11-28,836,865.8,821.1,860.7,71912031
1975-12-31,860.7,866.1,812.8,852.4,78715037
1976-01-30,852.4,986,848.6,975.3,143420299
1976-02-27,975.3,1002.8,946.2,972.6,134465414
1976-03-31,972.6,1018,964.2,999.5,119458647
1976-04-30,999.5,1017.7,963,996.9,88479698
1976-05-31,995.8,1015.8,955.8,975.2,80280452
