Date,Price
1970/1/5,2402.85
1970/1/6,2406.22
1970/1/7,2394.96
1970/1/8,2283.68
1970/1/9,2359
1970/1/10,2379.09
1970/1/12,2324.24
1970/1/13,2297.69
1970/1/14,2288.14
1970/1/16,2286.45
1970/1/17,2313.73
1970/1/19,2309.38
1970/1/20,2309.94
1970/1/21,2325.36
1970/1/22,2322.58
1970/1/23,2312
1970/1/24,2296.08
1970/1/26,2316.71
1970/1/27,2321.83
1970/1/28,2324.77
1970/1/29,2328.6
1970/1/30,2296.43
1970/1/31,2316.98
1970/2/2,2310.45
1970/2/3,2296.68
1970/2/4,2313.31
1970/2/5,2306.78
1970/2/6,2302.93
1970/2/7,2292.83
1970/2/9,2306.4
1970/2/10,2306.25
1970/2/12,2311.78
1970/2/13,2298.65
1970/2/14,2303.97
1970/2/16,2293.93
1970/2/17,2294.71
1970/2/18,2313.23
1970/2/19,2324.4
1970/2/20,2322.98
1970/2/21,2327.54
1970/2/23,2361.47
1970/2/24,2375.46
1970/2/25,2383.18
1970/2/26,2385.07
1970/2/27,2380.29
1970/2/28,2374.45
1970/3/2,2399.76
1970/3/3,2396.64
1970/3/4,2422.73
1970/3/5,2423.37
1970/3/6,2452.26
1970/3/7,2456.47
1970/3/9,2455.17
1970/3/10,2470.22
1970/3/11,2458.13
1970/3/12,2433.12
1970/3/13,2446.36
1970/3/14,2452.46
1970/3/16,2459.63
1970/3/17,2468.84
1970/3/18,2484.62
1970/3/19,2490.47
1970/3/20,2491.18
1970/3/23,2495.18
1970/3/24,2484.15
1970/3/25,2481.01
1970/3/26,2504.84
1970/3/27,2485.36
1970/3/28,2495.24
1970/3/30,2510.24
1970/3/31,2523.75
1970/4/1,2521.42
1970/4/2,2522.84
1970/4/3,2500.09
1970/4/4,2523.36
1970/4/6,2534.45
1970/4/7,2524.13
1970/4/8,2529.65
1970/4/9,2515.05
1970/4/10,2513.91
1970/4/11,2514.38
1970/4/13,2508.16
1970/4/14,2502.03
1970/4/15,2497.75
1970/4/16,2502.65
1970/4/17,2471.21
1970/4/18,2465.49
1970/4/20,2470.67
1970/4/21,2469.64
1970/4/22,2436.4
1970/4/23,2416.67
1970/4/24,2422.86
1970/4/25,2410.12
1970/4/27,2386.06
1970/4/28,2315.43
1970/4/30,2114.32
1970/5/1,2125.61
1970/5/2,2190.72
1970/5/4,2200.74
1970/5/6,2191.39
1970/5/7,2209.61
1970/5/8,2190.54
1970/5/9,2149.82
1970/5/11,2139.07
1970/5/12,2149.43
1970/5/13,2096.75
1970/5/14,2048.72
1970/5/15,2018.71
1970/5/16,2049.9
1970/5/18,2047.9
1970/5/19,1963.1
1970/5/20,1983.78
1970/5/21,1982.33
1970/5/22,1989.34
1970/5/23,1995.63
1970/5/25,1933.33
1970/5/26,1946.48
1970/5/27,1929.64
1970/5/28,2009.1
1970/5/29,2026.14
1970/5/30,2072.46
1970/6/1,2082.37
1970/6/2,2087.47
1970/6/3,2109.23
1970/6/4,2133.85
1970/6/5,2123.82
1970/6/6,2130.59
1970/6/8,2109.58
1970/6/9,2091.83
1970/6/10,2109.47
1970/6/11,2029.41
1970/6/12,2048.94
1970/6/13,2077.31
1970/6/15,2072.8
1970/6/16,2054.37
1970/6/17,2066.02
1970/6/18,2082.02
1970/6/19,2113.22
1970/6/20,2150.59
1970/6/22,2149.28
1970/6/23,2131.89
1970/6/24,2140.47
1970/6/25,2143.45
1970/6/26,2135.88
1970/6/27,2113.81
1970/6/29,2131.74
1970/6/30,2138.11
1970/7/1,2148.79
1970/7/2,2146.89
1970/7/3,2135.25
1970/7/4,2131.24
1970/7/6,2117.65
1970/7/7,2116.86
1970/7/8,2121.51
1970/7/9,2111.1
1970/7/10,2102.22
1970/7/11,2111.27
1970/7/13,2110.01
1970/7/14,2110.87
1970/7/15,2087.99
1970/7/16,2067.76
1970/7/17,2110.49
1970/7/18,2131.63
1970/7/20,2133.89
1970/7/21,2148.94
1970/7/22,2132.19
1970/7/23,2125.62
1970/7/24,2128.35
1970/7/25,2127.41
1970/7/27,2130.05
1970/7/28,2138.56
1970/7/29,2132.43
1970/7/30,2140.5
1970/7/31,2159.16
1970/8/1,2157.25
1970/8/3,2164.77
1970/8/4,2164.21
1970/8/5,2169.78
1970/8/6,2147.73
1970/8/7,2143.09
1970/8/8,2126.76
1970/8/10,2141.38
1970/8/11,2123.52
1970/8/12,2122.83
1970/8/13,2142.85
1970/8/14,2136.15
1970/8/15,2139.2
1970/8/17,2140.64
1970/8/18,2152.18
1970/8/19,2155.99
1970/8/20,2161.43
1970/8/21,2164.28
1970/8/22,2170.67
1970/8/24,2168.15
1970/8/25,2153.18
1970/8/26,2153.36
1970/8/27,2163.5
1970/8/28,2157.84
1970/8/29,2154.5
1970/8/31,2132.21
1970/9/1,2130.54
1970/9/2,2118.06
1970/9/3,2139.05
1970/9/4,2144.96
1970/9/5,2144.78
1970/9/7,2150.54
1970/9/8,2165.18
1970/9/9,2176.99
1970/9/10,2165.47
1970/9/11,2157.26
1970/9/12,2155.52
1970/9/14,2168.4
1970/9/16,2139.9
1970/9/17,2136.8
1970/9/18,2079.87
1970/9/19,2078.44
1970/9/21,2076.99
1970/9/22,2089.36
1970/9/24,2085.01
1970/9/25,2094
1970/9/26,2065.02
1970/9/28,2042.95
1970/9/29,2020.88
1970/9/30,2065.44
1970/10/1,2061.65
1970/10/2,2065.59
1970/10/3,2054.34
1970/10/5,2087.32
1970/10/6,2094.36
1970/10/7,2083.16
1970/10/8,2079.93
1970/10/9,2081.32
1970/10/12,2092.46
1970/10/13,2094.48
1970/10/14,2096.12
1970/10/15,2118.4
1970/10/16,2114.21
1970/10/17,2117.44
1970/10/19,2133.03
1970/10/20,2124.32
1970/10/21,2106.84
1970/10/22,2107.16
1970/10/23,2101.68
1970/10/24,2094.26
1970/10/26,2094.9
1970/10/27,2095.19
1970/10/28,2104.47
1970/10/29,2117.26
1970/10/30,2114.2
1970/10/31,2114.41
1970/11/2,2139.32
1970/11/4,2143.72
1970/11/5,2134.16
1970/11/6,2136.59
1970/11/7,2141.57
1970/11/9,2147.98
1970/11/10,2142.73
1970/11/11,2122.5
1970/11/12,2109.99
1970/11/13,2111.09
1970/11/14,2094.72
1970/11/16,2098.45
1970/11/17,2075.66
1970/11/18,2087.88
1970/11/19,2075.16
1970/11/20,2064.05
1970/11/21,2064.98
1970/11/24,2060.03
1970/11/25,2056.93
1970/11/26,2041.15
1970/11/27,2012.13
1970/11/28,1993.65
1970/11/30,1990.47
1970/12/1,2027.37
1970/12/2,2017.12
1970/12/3,1992.72
1970/12/4,1989.68
